iter	Passed	Remaining
400	20937	5169
401	20989	5116
402	21041	5064
403	21092	5012
404	21144	4959
405	21198	4908
406	21253	4856
407	21305	4804
408	21355	4751
409	21405	4698
410	21459	4647
411	21514	4595
412	21567	4543
413	21621	4491
414	21672	4438
415	21723	4386
416	21776	4334
417	21827	4281
418	21877	4229
419	21931	4177
420	21981	4124
421	22036	4073
422	22088	4020
423	22140	3968
424	22193	3916
425	22259	3866
426	22336	3818
427	22386	3765
428	22436	3713
429	22488	3660
430	22538	3608
431	22588	3555
432	22637	3502
433	22687	3450
434	22739	3397
435	22788	3345
436	22838	3292
437	22891	3240
438	22943	3188
439	22995	3135
440	23045	3083
441	23095	3030
442	23145	2978
443	23196	2925
444	23249	2873
445	23300	2821
446	23352	2768
447	23402	2716
448	23452	2663
449	23502	2611
450	23554	2559
451	23606	2506
452	23656	2454
453	23708	2402
454	23763	2350
455	23814	2297
456	23863	2245
457	23915	2193
458	23965	2140
459	24017	2088
460	24069	2036
461	24118	1983
462	24167	1931
463	24217	1878
464	24268	1826
465	24319	1774
466	24370	1722
467	24422	1669
468	24473	1617
469	24523	1565
470	24574	1513
471	24625	1460
472	24677	1408
473	24727	1356
474	24780	1304
475	24834	1252
476	24887	1200
477	24938	1147
478	24990	1095
479	25040	1043
480	25092	991
481	25143	938
482	25194	886
483	25247	834
484	25296	782
485	25348	730
486	25399	678
487	25451	625
488	25505	573
489	25556	521
490	25606	469
491	25657	417
492	25707	365
493	25758	312
494	25809	260
495	25861	208
496	25912	156
497	25968	104
498	26019	52
499	26071	0
