iter	RMSE
176	0.2666238062
177	0.2666002964
178	0.2665562376
179	0.2665199668
180	0.2664957783
181	0.2664602974
182	0.2664222866
183	0.2663960879
184	0.26636089
185	0.2663252641
186	0.2662809878
187	0.2662557913
188	0.2662212554
189	0.266195276
190	0.2661758418
191	0.2661426069
192	0.2661128337
193	0.2660816071
194	0.2660646538
195	0.266018419
196	0.2659788267
197	0.2659501903
198	0.2659239448
199	0.2659001146
200	0.2658521151
201	0.2658330661
202	0.2658166449
203	0.2657993477
204	0.2657841824
205	0.2657669066
206	0.2657363477
207	0.2657079808
208	0.265672529
209	0.2656533865
210	0.2656429803
211	0.2656208884
212	0.2656041442
213	0.2655599689
214	0.2655210472
215	0.2654925976
216	0.2654666984
217	0.2654464815
218	0.2654231762
219	0.2653791807
220	0.2653588431
221	0.2653105091
222	0.2652868205
223	0.2652711455
224	0.265220334
225	0.2651853714
226	0.2651743361
227	0.2651584463
228	0.2651185914
229	0.2650750532
230	0.2650371576
231	0.2650114298
232	0.2649787242
233	0.2649614447
234	0.2649474609
235	0.2649272611
236	0.2648997072
237	0.2648720941
238	0.2648413485
239	0.2648003773
240	0.2647757011
241	0.2647373874
242	0.2646994507
243	0.2646816492
244	0.2646621632
245	0.2646361501
246	0.2646057092
247	0.2645895077
248	0.2645581553
249	0.26454219
250	0.2645064974
251	0.2644931074
252	0.264473746
253	0.2644556099
254	0.2644438796
255	0.2644177133
256	0.2643918387
257	0.2643618145
258	0.2643469808
259	0.2643271292
260	0.2643074528
261	0.2642831974
262	0.2642561283
263	0.2642295555
264	0.2642025828
265	0.2641724941
266	0.2641538834
267	0.2641357386
268	0.2641214082
269	0.2640946452
270	0.2640836691
271	0.2640664359
272	0.264056777
273	0.2640175783
274	0.2639826664
275	0.2639665555
276	0.2639499957
277	0.2639373126
278	0.2639058267
279	0.2638879894
280	0.2638611089
281	0.2638438316
282	0.2638231518
283	0.2638091584
284	0.2637774019
285	0.2637378681
286	0.2637287973
287	0.2637131349
288	0.2636796176
289	0.2636628789
290	0.2636556438
291	0.2636458443
292	0.2636283535
293	0.2636072776
294	0.2635884199
295	0.2635712948
296	0.2635497252
297	0.2635400511
298	0.2635063056
299	0.2634754375
300	0.2634545174
301	0.2634463827
302	0.2634258734
303	0.2634163986
304	0.2633947081
305	0.2633857523
306	0.2633732476
307	0.2633527202
308	0.2633319197
309	0.2633137556
310	0.2632678286
311	0.2632320795
312	0.2632096608
313	0.2632025785
314	0.2631832728
315	0.2631540723
316	0.2631299078
317	0.2630935235
318	0.2630749466
319	0.2630500566
320	0.2630321516
321	0.2630031531
322	0.2629952132
323	0.2629654209
324	0.2629457075
325	0.2629372462
326	0.2629203247
327	0.2629094598
328	0.2628779024
329	0.2628439032
330	0.2628204791
331	0.2627866643
332	0.2627520962
333	0.2627434035
334	0.2627166827
335	0.2626843545
336	0.262674659
337	0.2626599088
338	0.2626336668
339	0.2626034502
340	0.2625880489
341	0.2625633687
342	0.262552161
343	0.2625283097
344	0.262490397
345	0.2624858972
346	0.2624540298
347	0.2624393944
348	0.2624297038
349	0.2623969475
350	0.2623794771
351	0.2623637482
352	0.2623459454
353	0.2623239659
354	0.262289487
355	0.2622681996
356	0.2622363632
357	0.2622125609
358	0.2622062469
359	0.2621837589
360	0.26215296
361	0.2621319553
362	0.262117525
363	0.2620977086
364	0.2620778959
365	0.2620554393
366	0.2620323061
367	0.2620127668
368	0.2619891408
369	0.261974695
370	0.2619443484
371	0.2619371048
372	0.2619195896
373	0.2619060006
374	0.2618835205
375	0.2618618989
376	0.2618315011
377	0.2618122285
378	0.2617917837
379	0.2617702799
380	0.2617541015
381	0.2617476448
382	0.2617109872
383	0.2616909364
384	0.2616593092
385	0.2616438577
386	0.2616204399
387	0.2616033536
388	0.2615804923
389	0.2615710365
390	0.2615514253
391	0.2615253096
392	0.2615129908
393	0.261502742
394	0.261476446
395	0.2614610209
396	0.2614457988
397	0.261432041
398	0.2614027441
399	0.2613842739
400	0.2613601184
401	0.261341748
402	0.2613177632
403	0.2613104907
404	0.2612948949
405	0.2612708995
406	0.2612477451
407	0.2612344198
408	0.2612070396
409	0.2611918317
410	0.2611849342
411	0.2611689348
412	0.2611521095
413	0.2611425701
414	0.2611218126
415	0.2610922901
416	0.2610837637
417	0.2610596184
418	0.2610508715
419	0.2610284083
420	0.2610076241
421	0.2609770856
422	0.2609643372
423	0.2609441937
424	0.2609285299
425	0.2609151497
426	0.2609031333
427	0.2608942586
428	0.2608793494
429	0.2608571217
430	0.2608346004
431	0.2608258852
432	0.2608071676
433	0.2607849507
434	0.2607517492
435	0.2607343193
436	0.2607218594
437	0.2607019442
438	0.2606873354
439	0.2606701289
440	0.2606532204
441	0.2606403215
442	0.2606241292
443	0.2606082509
444	0.2605973283
445	0.2605688266
446	0.2605510407
447	0.2605199085
448	0.2605008298
449	0.2604931519
450	0.2604736382
451	0.2604632862
452	0.2604536823
453	0.2604349409
454	0.2604241345
455	0.2604009836
456	0.2603785231
457	0.2603678012
458	0.2603468588
459	0.2603302909
460	0.2603043655
461	0.2602953928
462	0.2602874565
463	0.260276372
464	0.2602497402
465	0.2602267969
466	0.2602109167
467	0.2602024822
468	0.2601859757
469	0.2601762636
470	0.2601545121
471	0.2601389665
472	0.2601147926
473	0.2601064457
474	0.2600870919
475	0.2600495701
476	0.260040016
477	0.2600244069
478	0.2600022176
479	0.2599889308
480	0.2599736062
481	0.259960999
482	0.2599414613
483	0.2599290872
484	0.2599226594
485	0.2598985249
486	0.2598715367
487	0.2598583548
488	0.2598516666
489	0.259832291
490	0.2598135167
491	0.2598057768
492	0.2597914775
493	0.2597636713
494	0.2597459795
495	0.2597298307
496	0.2597162845
497	0.2597048303
498	0.2596893633
499	0.2596750855
